TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
MEU NOME É GAL,FICÇÃO,BRASIL,167710.0,,,,,MEU NOME É GAL,167710,Alto,MEU NOME É GAL,,MEU NOME É GAL,2023-10-12,10,SM DISTRIBUIDORA DE FILMES LTDA,SM
UMA FADA VEIO ME VISITAR,FICÇÃO,BRASIL,63560.0,,,,,UMA FADA VEIO ME VISITAR,63560,Alto,UMA FADA VEIO ME VISITAR,,UMA FADA VEIO ME VISITAR,2023-10-12,10,WMIX DISTRIBUIDORA LTDA.,WMIX
RODEIO ROCK,FICÇÃO,BRASIL,8562.0,,,,,RODEIO ROCK,8562,Alto,RODEIO ROCK,,RODEIO ROCK,2023-10-05,10,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
UM FILME DE CINEMA,FICÇÃO,BRASIL,3791.0,,,,,UM FILME DE CINEMA,3791,Alto,UM FILME DE CINEMA,,UM FILME DE CINEMA,2023-10-05,10,EMBAUBA FILMES LTDA,EMBAUBA
PÉROLA,FICÇÃO,BRASIL,7672.0,,,,,PÉROLA,7672,Alto,PÉROLA,,PÉROLA,2023-09-28,9,H2O DISTRIBUIDORA DE FILMES LTDA,H2O
NOSSO SONHO,FICÇÃO,BRASIL,497862.0,,,,,NOSSO SONHO,497862,Alto,NOSSO SONHO,,NOSSO SONHO,2023-09-21,9,VITRINE FILMES LTDA,VITRINE
ANGELA,FICÇÃO,BRASIL,22504.0,,,,,ANGELA,22504,Alto,ANGELA,,ANGELA,2023-09-07,9,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,FREESPIRIT
TIRE 5 CARTAS,FICÇÃO,BRASIL,13924.0,,,,,TIRE 5 CARTAS,13924,Alto,TIRE 5 CARTAS,,TIRE 5 CARTAS,2023-09-07,9,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",UNIFILMES
FRANCO NO TREM DO MEDO,FICÇÃO,BRASIL,8231.0,,,,,FRANCO NO TREM DO MEDO,8231,Alto,FRANCO NO TREM DO MEDO,,FRANCO NO TREM DO MEDO,2023-08-31,8,SIRINO E SILVESTRE LTDA-ME,SIRINO
O PORTEIRO,FICÇÃO,BRASIL,46800.0,,,,,O PORTEIRO,46800,Alto,O PORTEIRO,,O PORTEIRO,2023-08-31,8,WMIX DISTRIBUIDORA LTDA.,WMIX
