TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,PUBLICO_TOTAL,PAIS_OBRA,Contagem,TIPO_OBRA,Publico_Total,TITULO_ORIGINAL,PUBLICO_TOTAL,PUBLICO_NIVEL,TITULO_ORIGINAL,RENDA_TOTAL,TITULO_ORIGINAL,DATA_LANCAMENTO_OBRA,MES_LANCAMENTO,RAZAO_SOCIAL_DISTRIBUIDORA,NOME_DISTRIBUIDORA
,,,,,,,,BRIGHTBURN,77584,Alto,BRIGHTBURN,,BRIGHTBURN,2019-05-23,5,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
,,,,,,,,HELLBOY,172868,Alto,HELLBOY,,HELLBOY,2019-05-23,5,WMIX DISTRIBUIDORA LTDA.,WMIX
,,,,,,,,HISTÓRIAS ESTRANHAS,780,Alto,HISTÓRIAS ESTRANHAS,,HISTÓRIAS ESTRANHAS,2019-05-23,5,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,RBG,6287,Alto,RBG,,RBG,2019-05-23,5,FLOW FILMES LTDA.,FLOW
,,,,,,,,SIR,21464,Alto,SIR,,SIR,2019-05-23,5,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,THE ASPERN PAPERS,4075,Alto,THE ASPERN PAPERS,,THE ASPERN PAPERS,2019-05-23,5,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
,,,,,,,,TOLKIEN,6703,Alto,TOLKIEN,,TOLKIEN,2019-05-23,5,FOX FILM DO BRASIL LTDA,FOX
,,,,,,,,UNA STORIA SENZA NOME,12876,Alto,UNA STORIA SENZA NOME,,UNA STORIA SENZA NOME,2019-05-23,5,PAGU DISTRIBUICAO DE FILMES LTDA.,PAGU
,,,,,,,,ANTÁRTICA POR UM ANO,472,Baixo,ANTÁRTICA POR UM ANO,,ANTÁRTICA POR UM ANO,2019-05-16,5,E.H. FILMES LTDA,E.H.
,,,,,,,,EL CUENTO DE LAS COMADREJAS,24992,Alto,EL CUENTO DE LAS COMADREJAS,,EL CUENTO DE LAS COMADREJAS,2019-05-16,5,P & M DISTRIBUIDORA DE FILMES LTDA,P
,,,,,,,,JOHN WICK 3: PARABELLUM,1005500,Alto,JOHN WICK 3: PARABELLUM,,JOHN WICK 3: PARABELLUM,2019-05-16,5,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,RED JOAN,35593,Alto,RED JOAN,,RED JOAN,2019-05-16,5,ANTONIO FERNANDES FILMES LTDA,ANTONIO
,,,,,,,,THE SUN IS ALSO A STAR,14475,Alto,THE SUN IS ALSO A STAR,,THE SUN IS ALSO A STAR,2019-05-16,5,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,UGLYDOLLS,98706,Alto,UGLYDOLLS,,UGLYDOLLS,2019-05-16,5,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,A PARTE DO MUNDO QUE ME PERTENCE,571,Alto,A PARTE DO MUNDO QUE ME PERTENCE,,A PARTE DO MUNDO QUE ME PERTENCE,2019-05-09,5,OLHAR DISTRIBUICAO DE FILMES LTDA,OLHAR
,,,,,,,,"AMAZÔNIA, O DESPERTAR DA FLORESTANIA",3843,Alto,"AMAZÔNIA, O DESPERTAR DA FLORESTANIA",,"AMAZÔNIA, O DESPERTAR DA FLORESTANIA",2019-05-09,5,MIRÍADE FILMES E PRODUÇÕES ARTÍSTICAS LTDA,MIRÍADE
,,,,,,,,B.O.,786,Alto,B.O.,,B.O.,2019-05-09,5,RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,RACCORD
,,,,,,,,DIANE,73,Baixo,DIANE,,DIANE,2019-05-09,5,OMF SERVICOS & CONSULTORIA LTDA,OMF
,,,,,,,,LONG DAY'S JOURNEY INTO NIGHT,1947,Alto,LONG DAY'S JOURNEY INTO NIGHT,,LONG DAY'S JOURNEY INTO NIGHT,2019-05-09,5,ZETA FILMES LTDA,ZETA
,,,,,,,,MADEMOISELLE PARADIS,8558,Alto,MADEMOISELLE PARADIS,,MADEMOISELLE PARADIS,2019-05-09,5,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
,,,,,,,,MIA AND THE WHITE LION,34883,Alto,MIA AND THE WHITE LION,,MIA AND THE WHITE LION,2019-05-09,5,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,PET SEMATARY,550915,Alto,PET SEMATARY,,PET SEMATARY,2019-05-09,5,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,PARAMOUNT
,,,,,,,,POKEMON DETECTIVE PIKACHU,1137949,Alto,POKEMON DETECTIVE PIKACHU,,POKEMON DETECTIVE PIKACHU,2019-05-09,5,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,"TUNGA, O ESQUECIMENTO DAS PAIXÕES",1772,Alto,"TUNGA, O ESQUECIMENTO DAS PAIXÕES",,"TUNGA, O ESQUECIMENTO DAS PAIXÕES",2019-05-09,5,IVAN CARLOS DE MELO PRODUÇÕES CULTURAIS,IVAN
,,,,,,,,VARDA BY AGNÈS,9308,Alto,VARDA BY AGNÈS,,VARDA BY AGNÈS,2019-05-09,5,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,AMANDA,13164,Alto,AMANDA,,AMANDA,2019-05-02,5,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,BORRASCA,309,Baixo,BORRASCA,,BORRASCA,2019-05-02,5,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,TUCUMÁN
,,,,,,,,NAPSZÁLLTA,16598,Alto,NAPSZÁLLTA,,NAPSZÁLLTA,2019-05-02,5,ANTONIO FERNANDES FILMES LTDA,ANTONIO
,,,,,,,,WHAT THEY HAD,14597,Alto,WHAT THEY HAD,,WHAT THEY HAD,2019-05-02,5,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,AVENGERS: ENDGAME,19656475,Alto,AVENGERS: ENDGAME,,AVENGERS: ENDGAME,2019-04-25,4,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
,,,,,,,,LA CAMA,1872,Alto,LA CAMA,,LA CAMA,2019-04-25,4,LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME,LIVRES
,,,,,,,,SOBIBOR,5572,Alto,SOBIBOR,,SOBIBOR,2019-04-25,4,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
,,,,,,,,TUNTEMATON MESTARI,3963,Alto,TUNTEMATON MESTARI,,TUNTEMATON MESTARI,2019-04-25,4,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,CINEMATOGRÁFICA
,,,,,,,,DOUBLES VIES,15666,Alto,DOUBLES VIES,,DOUBLES VIES,2019-04-18,4,ANTONIO FERNANDES FILMES LTDA,ANTONIO
,,,,,,,,EL ÁNGEL,31212,Alto,EL ÁNGEL,,EL ÁNGEL,2019-04-18,4,PAGU DISTRIBUICAO DE FILMES LTDA.,PAGU
,,,,,,,,JESUS DE NAZARETH - EL HIJO DE DIOS,2548,Alto,JESUS DE NAZARETH - EL HIJO DE DIOS,,JESUS DE NAZARETH - EL HIJO DE DIOS,2019-04-18,4,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",UNIFILMES
,,,,,,,,JIANG HU ER NV,8150,Alto,JIANG HU ER NV,,JIANG HU ER NV,2019-04-18,4,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,MARCIA HAYDÉE,1420,Alto,MARCIA HAYDÉE,,MARCIA HAYDÉE,2019-04-18,4,LAERCIO BOGNAR ANTONIO EIRELI,LAERCIO
,,,,,,,,REPLICAS,35467,Alto,REPLICAS,,REPLICAS,2019-04-18,4,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,SANTOS DE TODOS OS GOLS,3519,Alto,SANTOS DE TODOS OS GOLS,,SANTOS DE TODOS OS GOLS,2019-04-18,4,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,THE CURSE OF LA LLORONA,361841,Alto,THE CURSE OF LA LLORONA,,THE CURSE OF LA LLORONA,2019-04-18,4,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,THE MISEDUCATION OF CAMERON POST,8815,Alto,THE MISEDUCATION OF CAMERON POST,,THE MISEDUCATION OF CAMERON POST,2019-04-18,4,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
,,,,,,,,THE PROFESSOR AND THE MADMAN,69105,Alto,THE PROFESSOR AND THE MADMAN,,THE PROFESSOR AND THE MADMAN,2019-04-18,4,WMIX DISTRIBUIDORA LTDA.,WMIX
,,,,,,,,AFTER,263616,Alto,AFTER,,AFTER,2019-04-11,4,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,AYKA,1512,Alto,AYKA,,AYKA,2019-04-11,4,ZETA FILMES LTDA,ZETA
,,,,,,,,BORDER,29399,Alto,BORDER,,BORDER,2019-04-11,4,ARTEPLEX DISTRIBUIDORA LTDA,ARTEPLEX
,,,,,,,,BREAKTHROUGH,1719931,Alto,BREAKTHROUGH,,BREAKTHROUGH,2019-04-11,4,FOX FILM DO BRASIL LTDA,FOX
,,,,,,,,BREAKTHROUGH,87,Baixo,BREAKTHROUGH,,BREAKTHROUGH,2019-04-11,4,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
,,,,,,,,MEDITATION PARK,4442,Alto,MEDITATION PARK,,MEDITATION PARK,2019-04-11,4,LANCA DISTRIBUIDORA DE FILMES LTDA,LANCA
,,,,,,,,SUSPIRIA,7965,Alto,SUSPIRIA,,SUSPIRIA,2019-04-11,4,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,PLAYARTE
,,,,,,,,TRANSIT,774,Alto,TRANSIT,,TRANSIT,2019-04-11,4,OMF SERVICOS & CONSULTORIA LTDA,OMF
,,,,,,,,BIO,896,Alto,BIO,,BIO,2019-04-04,4,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRETZ
,,,,,,,,LA BELLE ET LA BELLE,6041,Alto,LA BELLE ET LA BELLE,,LA BELLE ET LA BELLE,2019-04-04,4,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
,,,,,,,,"MADEA FAMILY FUNERAL, A",2094,Alto,"MADEA FAMILY FUNERAL, A",,"MADEA FAMILY FUNERAL, A",2019-04-04,4,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,MARY QUEEN OF SCOTS,81608,Alto,MARY QUEEN OF SCOTS,,MARY QUEEN OF SCOTS,2019-04-04,4,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,UNIVERSAL
,,,,,,,,MILAGRE,1189,Alto,MILAGRE,,MILAGRE,2019-04-04,4,M C VENTURA PRODUÇÕES CINEMATOGRÁFICAS EIRELI,M
,,,,,,,,"MUSSUM, UM FILME DO CACILDIS",2388,Alto,"MUSSUM, UM FILME DO CACILDIS",,"MUSSUM, UM FILME DO CACILDIS",2019-04-04,4,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,O CHALÉ É UMA ILHA BATIDA DE VENTO E CHUVA,333,Baixo,O CHALÉ É UMA ILHA BATIDA DE VENTO E CHUVA,,O CHALÉ É UMA ILHA BATIDA DE VENTO E CHUVA,2019-04-04,4,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRETZ
,,,,,,,,SE ROKH,6468,Alto,SE ROKH,,SE ROKH,2019-04-04,4,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,SHAZAM!,2930337,Alto,SHAZAM!,,SHAZAM!,2019-04-04,4,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,UN TRADUCTOR,39659,Alto,UN TRADUCTOR,,UN TRADUCTOR,2019-04-04,4,GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA,GALERIA
,,,,,,,,ANTÔNIO UM DOIS TRÊS,768,Alto,ANTÔNIO UM DOIS TRÊS,,ANTÔNIO UM DOIS TRÊS,2019-03-28,3,OLHAR DISTRIBUICAO DE FILMES LTDA,OLHAR
,,,,,,,,CAPTIVE STATE,22732,Alto,CAPTIVE STATE,,CAPTIVE STATE,2019-03-28,3,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,DUMBO,1849671,Alto,DUMBO,,DUMBO,2019-03-28,3,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
,,,,,,,,GLORIA BELL,30889,Alto,GLORIA BELL,,GLORIA BELL,2019-03-28,3,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
,,,,,,,,INEZITA,873,Alto,INEZITA,,INEZITA,2019-03-28,3,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,FUND
,,,,,,,,MI OBRA MAESTRA,16890,Alto,MI OBRA MAESTRA,,MI OBRA MAESTRA,2019-03-28,3,ARTEPLEX DISTRIBUIDORA LTDA,ARTEPLEX
,,,,,,,,THE CLEANERS,428,Baixo,THE CLEANERS,,THE CLEANERS,2019-03-28,3,FILMART PRODUÇÕES ARTISTICAS LTDA,FILMART
,,,,,,,,UMA VIAGEM INESPERADA,1075,Alto,UMA VIAGEM INESPERADA,,UMA VIAGEM INESPERADA,2019-03-28,3,BOULEVARD FILMES LTDA,BOULEVARD
,,,,,,,,BEN IS BACK,27322,Alto,BEN IS BACK,,BEN IS BACK,2019-03-21,3,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,FIVE FEET APART,1347574,Alto,FIVE FEET APART,,FIVE FEET APART,2019-03-21,3,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,JORGINHO GUINLE - SÓ SE VIVE UMA VEZ,966,Alto,JORGINHO GUINLE - SÓ SE VIVE UMA VEZ,,JORGINHO GUINLE - SÓ SE VIVE UMA VEZ,2019-03-21,3,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,PROVIDENCE
,,,,,,,,LE GRAND BAIN,30206,Alto,LE GRAND BAIN,,LE GRAND BAIN,2019-03-21,3,PAGU DISTRIBUICAO DE FILMES LTDA.,PAGU
,,,,,,,,THE CHILDREN ACT,19580,Alto,THE CHILDREN ACT,,THE CHILDREN ACT,2019-03-21,3,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
,,,,,,,,US,510130,Alto,US,,US,2019-03-21,3,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,UNIVERSAL
,,,,,,,,OS ÚLTIMOS DIAS DE COPACABANA JACK,207,Baixo,OS ÚLTIMOS DIAS DE COPACABANA JACK,,OS ÚLTIMOS DIAS DE COPACABANA JACK,2019-03-20,3,K9 AGENCIAMENTO E PRODUÇÕES LTDA,K9
,,,,,,,,COLD PURSUIT (AKA HARD POWDER),195608,Alto,COLD PURSUIT (AKA HARD POWDER),,COLD PURSUIT (AKA HARD POWDER),2019-03-14,3,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,EL AMOR MENOS PENSADO,92943,Alto,EL AMOR MENOS PENSADO,,EL AMOR MENOS PENSADO,2019-03-14,3,RJ DISTRIBUIDORA DE FILMES LTDA,RJ
,,,,,,,,ELEGIA DE UM CRIME,876,Alto,ELEGIA DE UM CRIME,,ELEGIA DE UM CRIME,2019-03-14,3,VITRINE FILMES LTDA,VITRINE
,,,,,,,,ELEIÇÕES,2675,Alto,ELEIÇÕES,,ELEIÇÕES,2019-03-14,3,OLHAR DISTRIBUICAO DE FILMES LTDA,OLHAR
,,,,,,,,LAS HIJAS DEL FUEGO,6089,Alto,LAS HIJAS DEL FUEGO,,LAS HIJAS DEL FUEGO,2019-03-14,3,VITRINE FILMES LTDA,VITRINE
,,,,,,,,LE LIVRE D'IMAGE,6944,Alto,LE LIVRE D'IMAGE,,LE LIVRE D'IMAGE,2019-03-14,3,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,ON THE BASIS OF SEX,43895,Alto,ON THE BASIS OF SEX,,ON THE BASIS OF SEX,2019-03-14,3,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,PASTOR CLÁUDIO,2287,Alto,PASTOR CLÁUDIO,,PASTOR CLÁUDIO,2019-03-14,3,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,LUDWIG
,,,,,,,,THE PRODIGY,187777,Alto,THE PRODIGY,,THE PRODIGY,2019-03-14,3,WMIX DISTRIBUIDORA LTDA.,WMIX
,,,,,,,,WONDER PARK,782111,Alto,WONDER PARK,,WONDER PARK,2019-03-14,3,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,PARAMOUNT
,,,,,,,,CAPTAIN MARVEL,8993542,Alto,CAPTAIN MARVEL,,CAPTAIN MARVEL,2019-03-07,3,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
,,,,,,,,DIÁRIOS DE CLASSE,1907,Alto,DIÁRIOS DE CLASSE,,DIÁRIOS DE CLASSE,2019-03-07,3,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,IO SONO TEMPESTA,9912,Alto,IO SONO TEMPESTA,,IO SONO TEMPESTA,2019-03-07,3,PAGU DISTRIBUICAO DE FILMES LTDA.,PAGU
,,,,,,,,O ÚLTIMO TRAGO,496,Baixo,O ÚLTIMO TRAGO,,O ÚLTIMO TRAGO,2019-03-07,3,FREDERICO DA CRUZ MACHADO - ME,FREDERICO
,,,,,,,,YOMEDDINE,2169,Alto,YOMEDDINE,,YOMEDDINE,2019-03-07,3,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,A DOG´S WAY HOME,652651,Alto,A DOG´S WAY HOME,,A DOG´S WAY HOME,2019-02-28,2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
,,,,,,,,AN ELEPHANT SITTING STILL,1305,Alto,AN ELEPHANT SITTING STILL,,AN ELEPHANT SITTING STILL,2019-02-28,2,ZETA FILMES LTDA,ZETA
,,,,,,,,DARK CRIMES,22378,Alto,DARK CRIMES,,DARK CRIMES,2019-02-28,2,CINECOLOR DO BRASIL LTDA,CINECOLOR
,,,,,,,,EL SILENCIO DE OTROS,5850,Alto,EL SILENCIO DE OTROS,,EL SILENCIO DE OTROS,2019-02-28,2,OMF SERVICOS & CONSULTORIA LTDA,OMF
,,,,,,,,LES ESTIVANTS,8101,Alto,LES ESTIVANTS,,LES ESTIVANTS,2019-02-28,2,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,LOOK AWAY,14523,Alto,LOOK AWAY,,LOOK AWAY,2019-02-28,2,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,SERENITY,24033,Alto,SERENITY,,SERENITY,2019-02-28,2,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,THE DEVIL'S DOORWAY,148557,Alto,THE DEVIL'S DOORWAY,,THE DEVIL'S DOORWAY,2019-02-28,2,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,PLAYARTE
,,,,,,,,TÁ RINDO DE QUÊ?,1475,Alto,TÁ RINDO DE QUÊ?,,TÁ RINDO DE QUÊ?,2019-02-28,2,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRETZ
,,,,,,,,VOX LUX,6196,Alto,VOX LUX,,VOX LUX,2019-02-28,2,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,NORMANDIE NUE,5244,Alto,NORMANDIE NUE,,NORMANDIE NUE,2019-02-23,2,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
,,,,,,,,BEAUTIFUL BOY,15966,Alto,BEAUTIFUL BOY,,BEAUTIFUL BOY,2019-02-21,2,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,DOGMAN,5314,Alto,DOGMAN,,DOGMAN,2019-02-21,2,ARTEPLEX DISTRIBUIDORA LTDA,ARTEPLEX
,,,,,,,,EVERYBODY KNOWS,105095,Alto,EVERYBODY KNOWS,,EVERYBODY KNOWS,2019-02-21,2,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,HAPPY DEATH DAY 2U,595674,Alto,HAPPY DEATH DAY 2U,,HAPPY DEATH DAY 2U,2019-02-21,2,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,UNIVERSAL
,,,,,,,,LEMBRO MAIS DOS CORVOS,1996,Alto,LEMBRO MAIS DOS CORVOS,,LEMBRO MAIS DOS CORVOS,2019-02-21,2,VITRINE FILMES LTDA,VITRINE
,,,,,,,,MADE IN ITALY,4873,Alto,MADE IN ITALY,,MADE IN ITALY,2019-02-21,2,CIRCUITO CINEARTE LTDA,CIRCUITO
,,,,,,,,PREMIÈRE ANNÉE,497,Baixo,PREMIÈRE ANNÉE,,PREMIÈRE ANNÉE,2019-02-21,2,A2 DISTRIBUIDORA DE FILMES LTDA EPP,A2
,,,,,,,,A PEDRA DA SERPENTE,507,Alto,A PEDRA DA SERPENTE,,A PEDRA DA SERPENTE,2019-02-14,2,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,ALITA: BATTLE ANGEL,1028151,Alto,ALITA: BATTLE ANGEL,,ALITA: BATTLE ANGEL,2019-02-14,2,FOX FILM DO BRASIL LTDA,FOX
,,,,,,,,CAN YOU EVER FORGIVE ME?,9334,Alto,CAN YOU EVER FORGIVE ME?,,CAN YOU EVER FORGIVE ME?,2019-02-14,2,FOX FILM DO BRASIL LTDA,FOX
,,,,,,,,LAS INESES,897,Alto,LAS INESES,,LAS INESES,2019-02-14,2,OKNA PRODUÇÕES CULTURAIS LTDA,OKNA
,,,,,,,,THE MULE,177988,Alto,THE MULE,,THE MULE,2019-02-14,2,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,TITO E OS PÁSSAROS,15276,Alto,TITO E OS PÁSSAROS,,TITO E OS PÁSSAROS,2019-02-14,2,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,JOVENS INFELIZES OU UM HOMEM QUE GRITA NÃO É UM URSO QUE DANÇA,238,Baixo,JOVENS INFELIZES OU UM HOMEM QUE GRITA NÃO É UM URSO QUE DANÇA,,JOVENS INFELIZES OU UM HOMEM QUE GRITA NÃO É UM URSO QUE DANÇA,2019-02-08,2,EMBAUBA FILMES LTDA,EMBAUBA
,,,,,,,,AT ETERNITY'S GATE,64329,Alto,AT ETERNITY'S GATE,,AT ETERNITY'S GATE,2019-02-07,2,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,COLD WAR,48658,Alto,COLD WAR,,COLD WAR,2019-02-07,2,ANTONIO FERNANDES FILMES LTDA,ANTONIO
,,,,,,,,ESCAPE ROOM,528354,Alto,ESCAPE ROOM,,ESCAPE ROOM,2019-02-07,2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
,,,,,,,,IF BEALE STREET COULD TALK,18960,Alto,IF BEALE STREET COULD TALK,,IF BEALE STREET COULD TALK,2019-02-07,2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
,,,,,,,,THE DOCTOR FROM INDIA,12903,Alto,THE DOCTOR FROM INDIA,,THE DOCTOR FROM INDIA,2019-02-07,2,CIRCUITO CINEARTE LTDA,CIRCUITO
,,,,,,,,THE LEGO MOVIE 2: THE SECOND PART,405132,Alto,THE LEGO MOVIE 2: THE SECOND PART,,THE LEGO MOVIE 2: THE SECOND PART,2019-02-07,2,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,VERGEL,479,Baixo,VERGEL,,VERGEL,2019-02-07,2,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,LUDWIG
,,,,,,,,CLÍMAX,10374,Alto,CLÍMAX,,CLÍMAX,2019-01-31,1,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TAG
,,,,,,,,FEVEREIROS,18198,Alto,FEVEREIROS,,FEVEREIROS,2019-01-31,1,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,LUDWIG
,,,,,,,,RUSALKA: OZERO MYORTVYKH,235011,Alto,RUSALKA: OZERO MYORTVYKH,,RUSALKA: OZERO MYORTVYKH,2019-01-31,1,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,SECOND ACT,122105,Alto,SECOND ACT,,SECOND ACT,2019-01-31,1,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,THE KID WHO WOULD BE KING,230528,Alto,THE KID WHO WOULD BE KING,,THE KID WHO WOULD BE KING,2019-01-31,1,FOX FILM DO BRASIL LTDA,FOX
,,,,,,,,ULTRAJE,674,Alto,ULTRAJE,,ULTRAJE,2019-01-31,1,ELO AUDIOVISUAL SERVIÇOS LTDA,ELO
,,,,,,,,VICE,219486,Alto,VICE,,VICE,2019-01-31,1,WMIX DISTRIBUIDORA LTDA.,WMIX
,,,,,,,,ANG PANAHON NG HALIMAW,253,Baixo,ANG PANAHON NG HALIMAW,,ANG PANAHON NG HALIMAW,2019-01-30,1,ZETA FILMES LTDA,ZETA
,,,,,,,,CREED II,677239,Alto,CREED II,,CREED II,2019-01-24,1,WARNER BROS. (SOUTH) INC.,WARNER
,,,,,,,,GREEN BOOK,621017,Alto,GREEN BOOK,,GREEN BOOK,2019-01-24,1,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
,,,,,,,,SOU CARNAVAL DE SÃO SALVADOR,3079,Alto,SOU CARNAVAL DE SÃO SALVADOR,,SOU CARNAVAL DE SÃO SALVADOR,2019-01-24,1,SM DISTRIBUIDORA DE FILMES LTDA,SM
,,,,,,,,THE FAVOURITE,254709,Alto,THE FAVOURITE,,THE FAVOURITE,2019-01-24,1,FOX FILM DO BRASIL LTDA,FOX
,,,,,,,,THE FAVOURITE,241,Baixo,THE FAVOURITE,,THE FAVOURITE,2019-01-24,1,THE WALT DISNEY COMPANY (BRASIL) LTDA.,THE
,,,,,,,,WAJIB,3555,Alto,WAJIB,,WAJIB,2019-01-24,1,IVAN CARLOS DE MELO PRODUÇÕES CULTURAIS,IVAN
,,,,,,,,ZLOGONJE,479,Baixo,ZLOGONJE,,ZLOGONJE,2019-01-24,1,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,CINEMATOGRÁFICA
,,,,,,,,CAPHARNAÜM,56167,Alto,CAPHARNAÜM,,CAPHARNAÜM,2019-01-17,1,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,COLUMBIA
,,,,,,,,DESTROYER,19621,Alto,DESTROYER,,DESTROYER,2019-01-17,1,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DIAMOND
